location,avg_delay,min_delay,max_delay,median,95th,99th,jitter
local-relay-eu,1307.66,24.338,2057.376,1531.762,1802.709,1874.043,0.7689586018840753
local-relay-eu,85.025,25.801,825.064,67.519,241.556,269.408,0.46248360929525395
local-relay-eu,42.066,11.475,472.887,28.596,97.76,155.062,0.7414643977794315
local-relay-eu,1632.584,25.322,2248.502,1750.75,1983.48,2049.378,1.0754194707998126
local-relay-eu,79.587,9.343,756.0,64.352,165.263,207.855,0.41572566105772113
local-relay-eu,1033.396,24.37,1660.987,1115.789,1537.9,1572.578,0.6561990792411037
local-relay-eu,234.153,22.889,675.812,233.281,473.243,500.778,0.5932291026509467
local-relay-eu,188.209,24.297,722.165,171.122,400.09,435.275,0.44031260194688604
local-relay-eu,980.801,24.472,1670.341,1003.475,1504.668,1613.845,0.7560429793726411
local-relay-eu,47.636,0.615,624.145,30.04,102.166,147.981,0.6242299604944879
